DATE,USDEUR,USDJPY,USDGBP,USDCHF,USDAUD,USDCAD,USDNZD,USDSEK,USDSGD,USDNOK
2000-08-08,0.00949,0.00322,0.00319,-0.00832,-0.00102,-0.00094,0.00088,-0.00673,0.00075,-0.01018
2000-08-09,0.00311,0.006,0.002,-0.00233,0.01407,0.00276,0.00597,-0.00059,0.00261,-0.00089
2000-08-10,-0.00952,-0.00655,0.0008,0.00712,-0.00552,0.00148,-0.00155,0.00531,0.00378,0.00546
2000-08-11,0.00342,0.00018,-0.004,-0.00677,0.00396,-0.00088,0.00711,-0.00185,0.0007,-0.00078
2000-08-14,0.001,-0.0077,-0.00133,-0.00192,-0.00259,-0.00054,-0.00467,0.00141,-0.00175,0.00235
2000-08-15,-0.01079,0.00476,0.00027,0.00694,-0.00361,-0.00155,0.00534,0.00567,-0.00157,0.00494
2000-08-16,-0.00088,0.00414,0.00453,0.00012,-0.01126,0.00648,-0.006,-0.00556,0.00087,0.00349
2000-08-17,-0.00098,0.00065,-0.00027,0.00047,-0.00642,0.00102,-0.00442,-0.00011,0.0007,0.00237
2000-08-18,0.00922,0.00046,0.00649,-0.00874,0.00507,0.00081,0.00709,-0.00628,-0.0014,-0.00677
2000-08-21,0.00453,-0.00092,-0.00034,-0.00232,0.00254,-0.00122,-0.00044,-0.00313,0.00099,-0.00303
2000-08-22,0.00689,0.00175,0.00694,-0.0075,0.01505,0.00061,0.01455,-0.00462,0.0,-0.00715
2000-08-23,-0.00022,0.01226,-0.00108,0.00709,0.01633,-0.00817,0.03487,0.00032,-0.00116,-0.00222
2000-08-24,-0.00678,0.00122,0.00047,0.00959,-0.00297,0.0004,-0.01276,0.0057,-0.00145,0.00167
2000-08-25,0.00044,-0.00262,0.00413,0.00129,-0.00209,0.0029,-0.00437,-0.00344,0.00029,0.00117
2000-08-28,0.00244,0.00674,0.00197,-0.00205,0.00384,-0.00115,0.00391,-0.00364,0.00116,0.0024
2000-08-29,0.00401,0.00235,0.00682,-0.00628,0.00035,-0.00155,0.01042,-0.00704,-0.00105,-0.00656
2000-08-30,0.0047,-0.00254,0.00384,-0.00705,-0.00122,0.00425,0.00654,-0.00308,-0.00116,-0.00327
2000-08-31,0.00517,-0.00178,0.0031,-0.00374,-0.00766,0.00576,-0.00023,-0.00053,0.00087,-0.00419
2000-09-01,-0.01287,0.00828,-0.00618,0.01125,-0.00017,-0.00149,-0.00351,0.01139,0.00017,0.00815
2000-09-05,0.0131,-0.00094,0.0057,-0.01486,0.01151,-0.00068,0.00492,-0.0143,-0.00348,-0.0082
2000-09-06,0.0198,-0.00189,0.00462,-0.01656,0.00775,-0.00615,0.00282,-0.01934,-0.00289,-0.01518
2000-09-07,-0.00436,0.00928,0.0052,0.00338,0.01353,0.00446,0.01852,0.01015,-0.00017,0.00424
2000-09-08,0.00873,-0.00881,0.01288,-0.00837,0.00395,-0.00027,-0.00335,-0.00953,-0.00282,-0.00748
2000-09-11,0.00463,0.00057,0.00516,0.00866,-0.00592,-0.00128,-0.02454,-0.0082,-0.00046,-0.00593
2000-09-12,0.00325,-0.00902,0.00732,0.00028,0.00072,-0.00169,0.00655,-0.00359,-0.0023,-0.00236
2000-09-13,-0.00511,-0.00168,-0.00746,0.00424,0.00647,-0.00088,0.0099,0.00452,-0.00201,0.0033
2000-09-14,0.00267,-0.00131,0.00461,-0.00571,0.01087,-0.00209,-0.0026,-0.00339,0.00287,-0.00265
2000-09-15,0.00524,-0.00075,0.00392,-0.00388,0.00731,0.00168,0.01213,-0.00419,-0.00212,-0.0015
2000-09-18,0.00573,0.0043,-0.00071,-0.00364,0.00607,-0.0041,0.0164,-0.00336,-0.00206,-0.00502
2000-09-19,0.00106,-0.0014,-0.00463,0.00589,-0.00055,0.00168,-0.00437,-0.00188,0.00218,-0.00021
2000-09-20,0.00613,0.00234,-0.00192,-0.00449,0.0089,0.00316,0.0203,-0.00279,-0.00258,-0.00446
